time periods,cpu utilization,revenue cost ratio,total utilization,acceptance ratio
0,0.8992046999265636,0.5019169329073483,0.5434008909691286,0.32064128256513025
50,0.9384618990328276,0.5096146761953879,0.5446595671542808,0.2737169517884914
100,0.9527194887579882,0.5060071145714478,0.5464390748643234,0.2604456824512535
150,0.9564303682754957,0.509545340366742,0.5476109457953271,0.23344947735191637
200,0.9609224855861627,0.5088528750216276,0.5520814163839709,0.23036093418259024
250,0.9447118013781035,0.5017983763230911,0.5451803986791712,0.22930542340627974
300,0.9562350588272058,0.4973639572731857,0.5524286374005646,0.20091673032849502
350,0.9298682833080734,0.4971524994726851,0.5429234620713123,0.18446601941747573
400,0.9277198793768847,0.4888519649136365,0.5493904535053697,0.17821195973949083
450,0.8771347322698083,0.48239207462578637,0.5266908795455572,0.17405764966740578
500,0.8415884126810519,0.47423430574849507,0.5226110326005813,0.167420814479638
550,0.7853392915735692,0.4689002834485175,0.5114999600695831,0.16322611617858857
600,0.7572147310198278,0.46617701518331073,0.5024722136381471,0.15968706856879888
650,0.759949063295886,0.4631578947368421,0.5068992815997166,0.15540249677141627
700,0.7095592256370994,0.4582470293251935,0.4944861302564922,0.15359609914668834
750,0.677137857220981,0.45434959670003416,0.4806840948468929,0.15262949782522736
800,0.684559616255996,0.4477324290697958,0.485631994333353,0.15253595760787284
850,0.6638568147372698,0.44438204876222565,0.478253547730737,0.15080527086383602
900,0.6617084108060811,0.4410205731740185,0.47899139239099864,0.1505338078291815
950,0.6554585084608053,0.43992381121126883,0.4678803198600005,0.15035211267605633
1000,0.6406149903907752,0.4379717185737833,0.46805393036829734,0.15
1050,0.6050686708020188,0.4340216570133468,0.4565088315665571,0.1489650492025789
1100,0.5656161622474649,0.43124936048296325,0.4225679771945236,0.14869390488948425
1150,0.5749910157653787,0.4276010150302557,0.41631799889583715,0.1502795133179875
1200,0.5599521882470586,0.42467810353241486,0.4154065437272787,0.1514758352254298
1250,0.5497960969359854,0.42204419081065264,0.4220037430425589,0.15152487961476727
1300,0.5388587678317527,0.4199885288213364,0.4159273752521693,0.15181413112667091
1350,0.5160075623818378,0.41841099941904475,0.3927937750216145,0.15202275600505688
1400,0.49842971203574943,0.4164505756664246,0.37933896062860895,0.1524198617221873
1450,0.49042202465586476,0.4131613856564741,0.3909274620574234,0.15362953692115144
1500,0.45409446727394887,0.41094737536923054,0.35733382870198366,0.15418227215980024
1550,0.3953063233386978,0.40835607810203656,0.28246429699896874,0.15518853225303833
1600,0.3789003296823487,0.40788373738023276,0.2597213204120819,0.15545171339563862
